AssetId,StableID,UnitNameRu,Category,Event,CandidateId,RawFilePath,RuntimeFilePath,DurationSeconds,SampleRate,BitDepth,Channels,LUFS,PeakDbTP,HeadSilenceMs,TailSilenceMs,Status,QC_Notes
VO_RU_SU_RubezhRifleman_Selected_01,SU_RubezhRifleman,Мотострелок МС-12 «Рубеж»,Infantry,Selected,soviet_voxcpm_ru_01,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Raw/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Selected_01.wav,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Runtime/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Selected_01.wav,3.868,48000,24,1,-17.0,-2.07,75.0,180.0,PASS,
VO_RU_SU_RubezhRifleman_Move_01,SU_RubezhRifleman,Мотострелок МС-12 «Рубеж»,Infantry,Move,soviet_voxcpm_ru_01,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Raw/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Move_01.wav,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Runtime/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Move_01.wav,2.175,48000,24,1,-17.02,-2.01,75.0,177.5,PASS,
VO_RU_SU_RubezhRifleman_Attack_01,SU_RubezhRifleman,Мотострелок МС-12 «Рубеж»,Infantry,Attack,soviet_voxcpm_ru_01,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Raw/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Attack_01.wav,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Runtime/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Attack_01.wav,2.326,48000,24,1,-17.03,-2.01,75.0,180.0,PASS,
VO_RU_SU_RubezhRifleman_Ability_01,SU_RubezhRifleman,Мотострелок МС-12 «Рубеж»,Infantry,Ability,soviet_voxcpm_ru_01,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Raw/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Ability_01.wav,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Runtime/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Ability_01.wav,2.592,48000,24,1,-17.01,-2.02,75.0,180.0,PASS,
VO_RU_SU_RubezhRifleman_Damaged_01,SU_RubezhRifleman,Мотострелок МС-12 «Рубеж»,Infantry,Damaged,soviet_voxcpm_ru_01,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Raw/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Damaged_01.wav,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Runtime/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Damaged_01.wav,1.273,48000,24,1,-17.01,-2.2,75.0,180.0,PASS,
VO_RU_SU_RubezhRifleman_Elite_01,SU_RubezhRifleman,Мотострелок МС-12 «Рубеж»,Infantry,Elite,soviet_voxcpm_ru_01,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Raw/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Elite_01.wav,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Runtime/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Elite_01.wav,2.233,48000,24,1,-17.0,-2.09,75.0,180.0,PASS,
VO_RU_SU_RubezhRifleman_Idle_01,SU_RubezhRifleman,Мотострелок МС-12 «Рубеж»,Infantry,Idle,soviet_voxcpm_ru_01,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Raw/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Idle_01.wav,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Runtime/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Idle_01.wav,2.068,48000,24,1,-17.0,-2.15,75.0,180.0,PASS,
VO_RU_SU_RubezhRifleman_Death_01,SU_RubezhRifleman,Мотострелок МС-12 «Рубеж»,Infantry,Death,soviet_voxcpm_ru_01,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Raw/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Death_01.wav,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Runtime/SU_RubezhRifleman/VO_RU_SU_RubezhRifleman_Death_01.wav,2.32,48000,24,1,-17.02,-2.01,75.0,179.5,PASS,
VO_RU_SU_ZapalGrenadier_Selected_01,SU_ZapalGrenadier,Штурмовик ОШ-4 «Запал»,Infantry,Selected,soviet_voxcpm_ru_01,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Raw/SU_ZapalGrenadier/VO_RU_SU_ZapalGrenadier_Selected_01.wav,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Runtime/SU_ZapalGrenadier/VO_RU_SU_ZapalGrenadier_Selected_01.wav,1.386,48000,24,1,-17.09,-2.0,75.0,180.0,PASS,
VO_RU_SU_ZapalGrenadier_Move_01,SU_ZapalGrenadier,Штурмовик ОШ-4 «Запал»,Infantry,Move,soviet_voxcpm_ru_01,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Raw/SU_ZapalGrenadier/VO_RU_SU_ZapalGrenadier_Move_01.wav,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Runtime/SU_ZapalGrenadier/VO_RU_SU_ZapalGrenadier_Move_01.wav,1.299,48000,24,1,-17.05,-2.0,75.0,179.6,PASS,
VO_RU_SU_ZapalGrenadier_Attack_01,SU_ZapalGrenadier,Штурмовик ОШ-4 «Запал»,Infantry,Attack,soviet_voxcpm_ru_01,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Raw/SU_ZapalGrenadier/VO_RU_SU_ZapalGrenadier_Attack_01.wav,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Runtime/SU_ZapalGrenadier/VO_RU_SU_ZapalGrenadier_Attack_01.wav,1.099,48000,24,1,-17.17,-2.0,75.0,180.0,PASS,
VO_RU_SU_ZapalGrenadier_Ability_01,SU_ZapalGrenadier,Штурмовик ОШ-4 «Запал»,Infantry,Ability,soviet_voxcpm_ru_01,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Raw/SU_ZapalGrenadier/VO_RU_SU_ZapalGrenadier_Ability_01.wav,/Users/romanmolodyko/Documents/red-alert-4/Audio/Voice/RU/Soviet/Runtime/SU_ZapalGrenadier/VO_RU_SU_ZapalGrenadier_Ability_01.wav,1.616,48000,24,1,-17.0,-2.2,75.0,179.4,PASS,
