SoundWaveName,SourceFile,FactionTag,UnitTag,EventTag,SubtitleKey,Priority,CooldownSeconds,Weight,ConcurrencyGroup
SW_VO_Chrono_EVA_03,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_INFANTRY_READY_03.wav,Chrono,EVA_Chrono,EVA.03,SUB_EVA_Chrono_03,50,3.0,1.0,eva_chrono
SW_VO_Chrono_EVA_03,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_FACTION_ABILITY_ACTIVATED_03.wav,Chrono,EVA_Chrono,EVA.03,SUB_EVA_Chrono_03,50,3.0,1.0,eva_chrono
SW_VO_Chrono_EVA_03,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_RESOURCES_DEPLETED_03.wav,Chrono,EVA_Chrono,EVA.03,SUB_EVA_Chrono_03,50,3.0,1.0,eva_chrono
SW_VO_Chrono_EVA_04,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_CONSTRUCTION_COMPLETE_04.wav,Chrono,EVA_Chrono,EVA.04,SUB_EVA_Chrono_04,50,3.0,1.0,eva_chrono
SW_VO_Chrono_EVA_02,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_RESOURCES_DEPLETED_02.wav,Chrono,EVA_Chrono,EVA.02,SUB_EVA_Chrono_02,50,3.0,1.0,eva_chrono
SW_VO_Chrono_EVA_01,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_OWN_SUPERWEAPON_FIRED_01.wav,Chrono,EVA_Chrono,EVA.01,SUB_EVA_Chrono_01,50,3.0,1.0,eva_chrono
SW_VO_Chrono_EVA_02,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_FACTION_ABILITY_ACTIVATED_02.wav,Chrono,EVA_Chrono,EVA.02,SUB_EVA_Chrono_02,50,3.0,1.0,eva_chrono
SW_VO_Chrono_EVA_02,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_INFANTRY_READY_02.wav,Chrono,EVA_Chrono,EVA.02,SUB_EVA_Chrono_02,50,3.0,1.0,eva_chrono
SW_VO_Chrono_EVA_01,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_RESOURCES_DEPLETED_01.wav,Chrono,EVA_Chrono,EVA.01,SUB_EVA_Chrono_01,50,3.0,1.0,eva_chrono
SW_VO_Chrono_EVA_GameStart,Content/RA4/Audio/EVA/Processed/Chrono/VO_Chrono_EVA_GameStart.wav,Chrono,EVA_Chrono,EVA.GameStart,SUB_EVA_Chrono_GAMESTART,60,3.0,1.0,eva_chrono
SW_VO_Chrono_EVA_02,Content/RA4/Audio/EVA/Processed/Chrono/VO_EVA_CH_OWN_SUPERWEAPON_FIRED_02.wav,Chrono,EVA_Chrono,EVA.02,SUB_EVA_Chrono_02,50,3.0,1.0,eva_chrono
