SoundWaveName,SourceFile,FactionTag,UnitTag,EventTag,SubtitleKey,Priority,CooldownSeconds,Weight,ConcurrencyGroup
SW_VO_Soviet_EVA_UNIT_READY_GENERIC,Content/RA4/Audio/EVA/Processed/Soviet/VO_EVA_SU_UNIT_READY_GENERIC_01.wav,Soviet,EVA_Soviet,EVA.UNIT_READY_GENERIC,SUB_EVA_Soviet_UNIT_READY_GENERIC,50,3.0,1.0,eva_soviet
SW_VO_Soviet_EVA_UNIT_READY_GENERIC,Content/RA4/Audio/EVA/Processed/Soviet/VO_EVA_SU_UNIT_READY_GENERIC_02.wav,Soviet,EVA_Soviet,EVA.UNIT_READY_GENERIC,SUB_EVA_Soviet_UNIT_READY_GENERIC,50,3.0,1.0,eva_soviet
SW_VO_Soviet_EVA_UNIT_READY_GENERIC,Content/RA4/Audio/EVA/Processed/Soviet/VO_EVA_SU_UNIT_READY_GENERIC_03.wav,Soviet,EVA_Soviet,EVA.UNIT_READY_GENERIC,SUB_EVA_Soviet_UNIT_READY_GENERIC,50,3.0,1.0,eva_soviet
SW_VO_Soviet_EVA_UNIT_READY_GENERIC,Content/RA4/Audio/EVA/Processed/Soviet/VO_EVA_SU_UNIT_READY_GENERIC_04.wav,Soviet,EVA_Soviet,EVA.UNIT_READY_GENERIC,SUB_EVA_Soviet_UNIT_READY_GENERIC,50,3.0,1.0,eva_soviet
SW_VO_Soviet_EVA_INFANTRY_READY,Content/RA4/Audio/EVA/Processed/Soviet/VO_EVA_SU_INFANTRY_READY_01.wav,Soviet,EVA_Soviet,EVA.INFANTRY_READY,SUB_EVA_Soviet_INFANTRY_READY,50,3.0,1.0,eva_soviet
SW_VO_Soviet_EVA_INFANTRY_READY,Content/RA4/Audio/EVA/Processed/Soviet/VO_EVA_SU_INFANTRY_READY_02.wav,Soviet,EVA_Soviet,EVA.INFANTRY_READY,SUB_EVA_Soviet_INFANTRY_READY,50,3.0,1.0,eva_soviet
SW_VO_Soviet_EVA_INFANTRY_READY,Content/RA4/Audio/EVA/Processed/Soviet/VO_EVA_SU_INFANTRY_READY_03.wav,Soviet,EVA_Soviet,EVA.INFANTRY_READY,SUB_EVA_Soviet_INFANTRY_READY,50,3.0,1.0,eva_soviet
SW_VO_Soviet_EVA_INFANTRY_READY,Content/RA4/Audio/EVA/Processed/Soviet/VO_EVA_SU_INFANTRY_READY_04.wav,Soviet,EVA_Soviet,EVA.INFANTRY_READY,SUB_EVA_Soviet_INFANTRY_READY,50,3.0,1.0,eva_soviet
SW_VO_Soviet_EVA_VEHICLE_READY,Content/RA4/Audio/EVA/Processed/Soviet/VO_EVA_SU_VEHICLE_READY_01.wav,Soviet,EVA_Soviet,EVA.VEHICLE_READY,SUB_EVA_Soviet_VEHICLE_READY,50,3.0,1.0,eva_soviet
SW_VO_Soviet_EVA_VEHICLE_READY,Content/RA4/Audio/EVA/Processed/Soviet/VO_EVA_SU_VEHICLE_READY_02.wav,Soviet,EVA_Soviet,EVA.VEHICLE_READY,SUB_EVA_Soviet_VEHICLE_READY,50,3.0,1.0,eva_soviet
SW_VO_Soviet_EVA_VEHICLE_READY,Content/RA4/Audio/EVA/Processed/Soviet/VO_EVA_SU_VEHICLE_READY_03.wav,Soviet,EVA_Soviet,EVA.VEHICLE_READY,SUB_EVA_Soviet_VEHICLE_READY,50,3.0,1.0,eva_soviet
SW_VO_Soviet_EVA_VEHICLE_READY,Content/RA4/Audio/EVA/Processed/Soviet/VO_EVA_SU_VEHICLE_READY_04.wav,Soviet,EVA_Soviet,EVA.VEHICLE_READY,SUB_EVA_Soviet_VEHICLE_READY,50,3.0,1.0,eva_soviet
SW_VO_Soviet_EVA_AIRCRAFT_READY,Content/RA4/Audio/EVA/Processed/Soviet/VO_EVA_SU_AIRCRAFT_READY_01.wav,Soviet,EVA_Soviet,EVA.AIRCRAFT_READY,SUB_EVA_Soviet_AIRCRAFT_READY,50,3.0,1.0,eva_soviet
